source,target,dist_m
230,2823,34250.0
230,4813,59230.0
230,5898,19758.0
231,6537,52870.0
231,7205,46233.0
231,7206,37521.0
232,699,26380.0
232,10029,24348.0
233,5880,10633.0
233,6595,135088.0
233,9292,71142.0
234,3199,41104.0
234,4179,27966.0
234,4207,65174.0
234,4373,37321.0
234,9329,36957.0
234,9869,19330.0
235,3838,58068.0
235,8115,33369.0
236,1358,72230.0
236,3576,68594.0
236,4624,75649.0
236,9124,93260.0
236,10157,5230.0
237,749,2115.0
238,1131,84975.0
238,4973,11759.0
238,6636,96469.0
239,4643,218662.0
239,6380,83390.0
239,7271,84314.0
239,9207,129822.0
239,9599,202680.0
239,9676,54481.0
240,5010,45396.0
240,5776,43411.0
240,8149,77489.0
241,608,46706.0
241,923,51762.0
241,6821,55989.0
241,9113,30247.0
241,9351,81800.0
241,9673,35179.0
242,6636,511308.0
242,8953,447891.0
243,835,86354.0
243,6692,105980.0
243,6875,62499.0
243,9567,113504.0
243,9579,118686.0
244,1571,33618.0
245,3694,21385.0
245,7308,10403.0
246,1307,21900.0
246,5840,21422.0
246,6598,103186.0
246,9124,3839.0
246,10212,73970.0
247,1683,13578.0
247,9374,77711.0
248,534,14661.0
248,823,66950.0
248,1258,113833.0
248,3794,65843.0
248,6833,67653.0
248,8534,124458.0
249,766,154620.0
249,4753,42451.0
249,6679,100874.0
249,9185,87905.0
249,9709,23671.0
250,6237,10196.0
250,6255,15750.0
250,6962,29924.0
250,8785,49159.0
251,3821,53996.0
251,10294,44880.0
252,746,95229.0
252,1602,20328.0
252,3930,21110.0
252,4259,61100.0
252,6094,23038.0
252,6819,55754.0
252,6949,40644.0
252,7162,29609.0
252,7673,989181.0
252,7844,59769.0
252,8415,28711.0
252,8861,46401.0
253,711,71819.0
253,3625,14782.0
253,4478,68793.0
253,4615,34779.0
253,5915,102496.0
253,7106,16827.0
253,7327,68030.0
253,7339,60910.0
253,8019,48712.0
254,4199,22460.0
254,8652,35096.0
255,8228,35125.0
255,9264,59468.0
256,734,150970.0
256,4131,18466.0
257,542,11075.0
257,3184,22594.0
257,4236,66618.0
257,6796,117832.0
258,5621,13855.0
258,6574,40121.0
258,9247,56140.0
258,9589,57596.0
259,3745,17493.0
259,6192,7068.0
259,7043,35701.0
260,5129,228259.0
260,9490,54182.0
261,3501,44601.0
262,358,39811.0
262,982,98823.0
262,1266,91615.0
262,3228,25617.0
262,8652,74236.0
262,9553,38221.0
262,10295,95062.0
263,2897,7674.0
263,4952,24376.0
263,8440,35895.0
264,323,138820.0
264,1551,75024.0
264,2901,55904.0
264,7614,70757.0
264,7673,205888.0
265,3740,48970.0
265,8792,98375.0
266,6658,103418.0
266,8264,214533.0
267,7363,41433.0
267,7517,37371.0
267,8598,37074.0
268,438,77348.0
268,650,55002.0
268,946,90042.0
268,2936,33878.0
268,3581,176794.0
268,4262,157434.0
268,6592,43023.0
268,6703,27946.0
